gene_id	geneset
gene:YCR088W	Cytoplasm
gene:YGR262C	Cytoplasm
gene:YIL131C	Nucleus
gene:YHR007C	Membrane
gene:YKL011C	Mitochondrion
gene:YBR194W	Cytoplasm
gene:YJR135C	Nucleus
gene:YGR140W	Nucleus
gene:YCL029C	Cytoplasm
gene:YNL305C	Endoplasmic reticulum membrane
gene:YLR115W	Nucleus
gene:YBR070C	Endoplasmic reticulum membrane
gene:YFL007W	Nucleus
gene:YFR051C	Cytoplasm
gene:YML036W	Nucleus
gene:YGL115W	Nucleus
gene:YOR112W	Cytoplasm
gene:YDL074C	Nucleus
gene:Q0050	Mitochondrion
gene:YGR157W	Endoplasmic reticulum membrane
gene:YOR215C	Mitochondrion
gene:YML102W	Nucleus
gene:YMR170C	Cytoplasm
gene:YPL078C	Mitochondrion
gene:YDL145C	Cytoplasm
gene:YAL058W	Endoplasmic reticulum membrane
gene:YDR168W	Cytoplasm
gene:YML111W	Cytoplasm
gene:YFL023W	Cytoplasm
gene:YGL071W	Nucleus
gene:YKL185W	Nucleus
gene:YNL077W	Cytoplasm
gene:YBR274W	Nucleus
gene:YGL202W	Cytoplasm
gene:YKL219W	Membrane
gene:YLR211C	Cytoplasm
gene:YMR180C	Cytoplasm
gene:YOR183W	Membrane
gene:YNL068C	Nucleus
gene:YDR063W	Cytoplasm
gene:YLR102C	Cytoplasm
gene:YBR211C	Nucleus
gene:YEL029C	Cytoplasm
gene:YER164W	Nucleus
gene:YDR182W	Membrane
gene:YOR002W	Endoplasmic reticulum membrane
gene:YIL036W	Nucleus
gene:YJL075C	Membrane
gene:YCR047C	Cytoplasm
gene:YOL058W	Cytoplasm
gene:YKR021W	Cytoplasm
gene:YMR078C	Nucleus
gene:YIL062C	Cytoplasm
gene:YOR276W	Cytoplasm
gene:YCR048W	Endoplasmic reticulum membrane
gene:YDR267C	Cytoplasm
gene:YMR055C	Cytoplasm
gene:YJR161C	Membrane
gene:YOR011W	Membrane
gene:YNR007C	Cytoplasm
gene:YLR312C	Endoplasmic reticulum membrane
gene:YNL136W	Nucleus
gene:YJR093C	Nucleus
gene:YBR196C	Cytoplasm
gene:YJL095W	Cytoplasm
gene:YJL020C	Cytoplasm
gene:YNL232W	Cytoplasm
gene:YMR092C	Cytoplasm
gene:YMR169C	Cytoplasm
gene:YNR027W	Cytoplasm
gene:YBR038W	Membrane
gene:YDR380W	Cytoplasm
gene:YCR063W	Nucleus
gene:YNL287W	Cytoplasm
gene:YGL055W	Endoplasmic reticulum membrane
gene:YPL181W	Nucleus
gene:YBL019W	Nucleus
gene:YNL027W	Nucleus
gene:YGL105W	Cytoplasm
gene:YMR042W	Nucleus
gene:YGR088W	Cytoplasm
gene:YER036C	Cytoplasm
gene:YLR459W	Endoplasmic reticulum membrane
gene:YLR215C	Cytoplasm
gene:YDL231C	Membrane
gene:YKL114C	Nucleus
gene:YPL010W	Cytoplasm
gene:YLR394W	Nucleus
gene:YOR250C	Nucleus
gene:YLR136C	Nucleus
gene:YLR443W	Membrane
gene:YDR513W	Cytoplasm
gene:YGR178C	Cytoplasm
gene:YOL094C	Nucleus
gene:YKR095W-A	Nucleus
gene:YKL197C	Cytoplasm
gene:YBR087W	Nucleus
gene:YGR075C	Nucleus
gene:YDR014W	Nucleus
gene:YDR176W	Nucleus
gene:YMR285C	Cytoplasm
gene:YEL054C	Cytoplasm
gene:YDR235W	Nucleus
gene:YDR140W	Cytoplasm
gene:YOR160W	Nucleus
gene:YOR116C	Nucleus
gene:YLR200W	Nucleus
gene:YIR002C	Nucleus
gene:YGR095C	Cytoplasm
gene:YDL133C-A	Cytoplasm
gene:YPL152W	Cytoplasm
gene:YKR006C	Mitochondrion
gene:YHL033C	Cytoplasm
gene:YGL004C	Cytoplasm
gene:YKL170W	Mitochondrion
gene:YOR285W	Mitochondrion
gene:YOR119C	Cytoplasm
gene:YOR369C	Cytoplasm
gene:YJL204C	Cytoplasm
gene:YNL284C	Mitochondrion
gene:YGL250W	Cytoplasm
gene:YML009C	Mitochondrion
gene:YGR076C	Mitochondrion
gene:YNL311C	Cytoplasm
gene:YOL124C	Cytoplasm
gene:YIL084C	Nucleus
gene:YOL097C	Cytoplasm
gene:YFR005C	Nucleus
gene:YPL106C	Cytoplasm
gene:YNL318C	Membrane
gene:YPR133C	Nucleus
gene:YDR191W	Nucleus
gene:YOL156W	Membrane
gene:YOR304W	Nucleus
gene:YFR042W	Endoplasmic reticulum membrane
gene:YDR252W	Cytoplasm
gene:YBR089C-A	Nucleus
gene:YKR003W	Endoplasmic reticulum membrane
gene:YMR268C	Nucleus
gene:YFL034C-B	Nucleus
gene:YGL134W	Cytoplasm
gene:YPL151C	Cytoplasm
gene:YIL057C	Cytoplasm
gene:YNL301C	Cytoplasm
gene:YMR121C	Cytoplasm
gene:YLL030C	Membrane
gene:YDL138W	Membrane
gene:YKL216W	Cytoplasm
gene:YDL189W	Cytoplasm
gene:YHR064C	Cytoplasm
gene:YBL008W	Nucleus
gene:YPL053C	Membrane
gene:YJR069C	Cytoplasm
gene:YGR202C	Membrane
gene:YOL044W	Endoplasmic reticulum membrane
gene:YDR076W	Nucleus
gene:YOL010W	Nucleus
gene:YBR267W	Cytoplasm
gene:YGR220C	Mitochondrion
gene:YOL066C	Cytoplasm
gene:YPR110C	Nucleus
gene:YHR141C	Cytoplasm
gene:YER117W	Cytoplasm
gene:YGL245W	Cytoplasm
gene:YDL133W	Membrane
gene:YGR294W	Membrane
gene:YOL115W	Nucleus
gene:YDL030W	Nucleus
gene:YJR021C	Nucleus
gene:YJR035W	Nucleus
gene:YMR182C	Nucleus
gene:YER162C	Cytoplasm
gene:YLR387C	Cytoplasm
gene:YDL082W	Cytoplasm
gene:Q0142	Mitochondrion
gene:Q0143	Mitochondrion
gene:YGR061C	Cytoplasm
gene:YFR031C-A	Cytoplasm
gene:YIL018W	Cytoplasm
gene:YML073C	Cytoplasm
gene:YPR102C	Cytoplasm
gene:YOR224C	Nucleus
gene:YDL083C	Cytoplasm
gene:YLR248W	Cytoplasm
gene:YDR083W	Nucleus
gene:YLR145W	Membrane
gene:YCR031C	Cytoplasm
gene:YBR080C	Cytoplasm
gene:YOR076C	Cytoplasm
gene:YGR276C	Nucleus
gene:YMR131C	Nucleus
gene:YJR059W	Nucleus
gene:YDR255C	Cytoplasm
gene:YBR122C	Mitochondrion
gene:YBL087C	Cytoplasm
gene:YFL034C-A	Cytoplasm
gene:YDL143W	Cytoplasm
gene:YCR009C	Cytoplasm
gene:YDR409W	Cytoplasm
gene:YGL233W	Cytoplasm
gene:YHR087W	Cytoplasm
gene:YDR169C	Cytoplasm
gene:YPL105C	Cytoplasm
gene:YDR312W	Nucleus
gene:YHL050C	Membrane
gene:YPL235W	Nucleus
gene:YML041C	Nucleus
gene:YDR018C	Membrane
gene:YDR445C	Membrane
gene:YDL224C	Cytoplasm
gene:YDR061W	Mitochondrion
gene:YDL196W	Membrane
gene:YLR140W	Membrane
gene:YLR152C	Membrane
gene:YKL065C	Endoplasmic reticulum membrane
gene:YDR098C-A	Cytoplasm
gene:YDR098C-B	Cytoplasm
gene:YNL177C	Mitochondrion
gene:YPR095C	Cytoplasm
gene:YJL036W	Cytoplasm
gene:YDR469W	Nucleus
gene:YNR004W	Nucleus
gene:YDR311W	Nucleus
gene:YOR148C	Cytoplasm
gene:YLR336C	Nucleus
gene:YER158W-A	Membrane
gene:YGL113W	Nucleus
gene:YER165C-A	Membrane
gene:YGR186W	Nucleus
gene:YOR158W	Mitochondrion
gene:YGR137W	Membrane
